vertical,class_code,class_of_business,lines_of_business,gl_eligible,excess_eligible,property_eligible,cyber_eligible,package_eligible,submissions_12m,auto_quoted_12m,bound_12m,auto_quote_rate_pct,bind_rate_pct,appetite_note
Contractors,95487,Greenhouse Erection,GL,YES,NO,NO,NO,NO,5,1,1,20.0,33.3,Edge / rare class – verify eligibility before quoting
Cyber,524210,Insurance Agencies and Brokerages,Cyber,NO,NO,NO,YES,NO,84,34,15,40.5,27.3,Moderate appetite – converts well
Cyber,541511,Custom Computer Programming Services,Cyber,NO,NO,NO,YES,NO,35,11,6,31.4,25.0,Moderate appetite – converts well
Cyber,541512,Computer Systems Design Services,Cyber,NO,NO,NO,YES,NO,14,7,1,50.0,11.1,Limited appetite – low volume
Cyber,541219,Other Accounting Services,Cyber,NO,NO,NO,YES,NO,8,5,0,62.5,0.0,Limited appetite – low volume
Cyber,541613,Marketing Consulting Services,Cyber,NO,NO,NO,YES,NO,15,4,3,26.7,37.5,Limited appetite – low volume
Cyber,721110,Hotels (except Casino Hotels) and Motels,Cyber,NO,NO,NO,YES,NO,10,4,1,40.0,14.3,Limited appetite – low volume
Cyber,813410,Civic and Social Organizations,Cyber,NO,NO,NO,YES,NO,5,4,2,80.0,40.0,Limited appetite – low volume
Cyber,238210,Electrical Contractors and Other Wiring Installation Contractors,Cyber,NO,NO,NO,YES,NO,4,3,0,75.0,0.0,Limited appetite – low volume
Cyber,238990,All Other Specialty Trade Contractors,Cyber,NO,NO,NO,YES,NO,3,3,1,100.0,33.3,Limited appetite – low volume
Cyber,484121,"General Freight Trucking, Long-Distance, Truckload",Cyber,NO,NO,NO,YES,NO,3,3,1,100.0,33.3,Limited appetite – low volume
Cyber,488510,Freight Transportation Arrangement,Cyber,NO,NO,NO,YES,NO,3,3,1,100.0,33.3,Limited appetite – low volume
Cyber,531210,Offices of Real Estate Agents and Brokers,Cyber,NO,NO,NO,YES,NO,7,3,0,42.9,0.0,Limited appetite – low volume
Cyber,541213,Tax Preparation Services,Cyber,NO,NO,NO,YES,NO,9,3,2,33.3,33.3,Limited appetite – low volume
Cyber,541611,Administrative Management and General Management Consulting Services,Cyber,NO,NO,NO,YES,NO,10,3,2,30.0,25.0,Limited appetite – low volume
Cyber,541690,Other Scientific and Technical Consulting Services,Cyber,NO,NO,NO,YES,NO,10,3,4,30.0,57.1,Limited appetite – low volume
Cyber,621610,Home Health Care Services,Cyber,NO,NO,NO,YES,NO,4,3,1,75.0,25.0,Limited appetite – low volume
Cyber,722511,Full-Service Restaurants,Cyber,NO,NO,NO,YES,NO,6,3,1,50.0,25.0,Limited appetite – low volume
Cyber,323111,Commercial Printing (except Screen and Books),Cyber,NO,NO,NO,YES,NO,2,2,1,100.0,50.0,Edge / rare class – verify eligibility before quoting
Cyber,423220,Home Furnishing Merchant Wholesalers,Cyber,NO,NO,NO,YES,NO,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,441120,Used Car Dealers,Cyber,NO,NO,NO,YES,NO,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,518210,"Data Processing, Hosting, and Related Services",Cyber,NO,NO,NO,YES,NO,7,2,1,28.6,33.3,Edge / rare class – verify eligibility before quoting
Cyber,519130,Internet Publishing and Broadcasting and Web Search Portals,Cyber,NO,NO,NO,YES,NO,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,519190,All Other Information Services,Cyber,NO,NO,NO,YES,NO,4,2,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,522310,Mortgage and Nonmortgage Loan Brokers,Cyber,NO,NO,NO,YES,NO,4,2,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,523930,Investment Advice,Cyber,NO,NO,NO,YES,NO,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,523999,Miscellaneous Financial Investment Activities,Cyber,NO,NO,NO,YES,NO,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541519,Other Computer Related Services,Cyber,NO,NO,NO,YES,NO,4,2,1,50.0,50.0,Edge / rare class – verify eligibility before quoting
Cyber,541618,Other Management Consulting Services,Cyber,NO,NO,NO,YES,NO,3,2,0,66.7,0.0,Edge / rare class – verify eligibility before quoting
Cyber,621330,Offices of Mental Health Practitioners (except Physicians),Cyber,NO,NO,NO,YES,NO,3,2,0,66.7,0.0,Edge / rare class – verify eligibility before quoting
Cyber,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",Cyber,NO,NO,NO,YES,NO,3,2,1,66.7,50.0,Edge / rare class – verify eligibility before quoting
Cyber,624210,Community Food Services,Cyber,NO,NO,NO,YES,NO,3,2,1,66.7,33.3,Edge / rare class – verify eligibility before quoting
Cyber,722513,Limited-Service Restaurants,Cyber,NO,NO,NO,YES,NO,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,237110,Water and Sewer Line and Related Structures Construction,Cyber,NO,NO,NO,YES,NO,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,238160,Roofing Contractors,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,238350,Finish Carpentry Contractors,Cyber,NO,NO,NO,YES,NO,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,315990,Apparel Accessories and Other Apparel Manufacturing,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,316210,Footwear Manufacturing,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,334290,Other Communications Equipment Manufacturing,Cyber,NO,NO,NO,YES,NO,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,337125,Household Furniture (except Wood and Metal) Manufacturing,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,339910,Jewelry and Silverware Manufacturing,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,423690,Other Electronic Parts and Equipment Merchant Wholesalers,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,446120,"Cosmetics, Beauty Supplies, and Perfume Stores",Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,448140,Family Clothing Stores,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,448320,Luggage and Leather Goods Stores,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Cyber,NO,NO,NO,YES,NO,3,1,0,33.3,0.0,Edge / rare class – verify eligibility before quoting
Cyber,454210,Vending Machine Operators,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,454390,Other Direct Selling Establishments,Cyber,NO,NO,NO,YES,NO,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,484110,"General Freight Trucking, Local",Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,493110,General Warehousing and Storage,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,511210,Software Publishers,Cyber,NO,NO,NO,YES,NO,12,1,3,8.3,42.9,Edge / rare class – verify eligibility before quoting
Cyber,522291,Consumer Lending,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,522390,Other Activities Related to Credit Intermediation,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,523920,Portfolio Management,Cyber,NO,NO,NO,YES,NO,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,524291,Claims Adjusting,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,524298,All Other Insurance Related Activities,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,531110,Lessors of Residential Buildings and Dwellings,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,531190,Lessors of Other Real Estate Property,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,531311,Residential Property Managers,Cyber,NO,NO,NO,YES,NO,3,1,0,33.3,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541199,All Other Legal Services,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541310,Architectural Services,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541330,Engineering Services,Cyber,NO,NO,NO,YES,NO,2,1,1,50.0,50.0,Edge / rare class – verify eligibility before quoting
Cyber,541490,Other Specialized Design Services,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541612,Human Resources Consulting Services,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541614,"Process, Physical Distribution, and Logistics Consulting Services",Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541922,Commercial Photography,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,561311,Employment Placement Agencies,Cyber,NO,NO,NO,YES,NO,3,1,0,33.3,0.0,Edge / rare class – verify eligibility before quoting
Cyber,561320,Temporary Help Services,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,561421,Telephone Answering Services,Cyber,NO,NO,NO,YES,NO,2,1,2,50.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,561499,All Other Business Support Services,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,561510,Travel Agencies,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,561599,All Other Travel Arrangement and Reservation Services,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,561710,Exterminating and Pest Control Services,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,561720,Janitorial Services,Cyber,NO,NO,NO,YES,NO,3,1,0,33.3,0.0,Edge / rare class – verify eligibility before quoting
Cyber,561730,Landscaping Services,Cyber,NO,NO,NO,YES,NO,4,1,0,25.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,611420,Computer Training,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,611692,Automobile Driving Schools,Cyber,NO,NO,NO,YES,NO,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,621111,Offices of Physicians (except Mental Health Specialists),Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,621210,Offices of Dentists,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,621310,Offices of Chiropractors,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,621511,Medical Laboratories,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,624120,Services for the Elderly and Persons with Disabilities,Cyber,NO,NO,NO,YES,NO,3,1,0,33.3,0.0,Edge / rare class – verify eligibility before quoting
Cyber,711510,"Independent Artists, Writers, and Performers",Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,811198,All Other Automotive Repair and Maintenance,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,812112,Beauty Salons,Cyber,NO,NO,NO,YES,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,813110,Religious Organizations,Cyber,NO,NO,NO,YES,NO,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,813311,Human Rights Organizations,Cyber,NO,NO,NO,YES,NO,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,813910,Business Associations,Cyber,NO,NO,NO,YES,NO,8,1,0,12.5,0.0,Edge / rare class – verify eligibility before quoting
LRO,60011,Apartment Buildings–Garden,"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,25114,16094,2146,64.1,12.2,Strong appetite – high volume
LRO,61212,Buildings or Premises–Bank or Office–Mercantile or Mfg. (Lessor’s Risk Only)–Other Than Not-For-Profit,"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,15609,9771,1432,62.6,13.1,Strong appetite – high volume
LRO,60010,Apartment Buildings,"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,16188,7508,1531,46.4,16.5,Strong appetite – high volume
LRO,61217,Buildings or Premises–Bank or Office–Mercantile or Mfg. (Lessor’s Risk Only)–Maintained by the Insured–Other Than Not-For-Profit,"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,11779,7099,974,60.3,12.3,Strong appetite – high volume
LRO,63010,Dwellings–One-Family (Lessor’s Risk Only),"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,8417,5558,610,66.0,10.0,Strong appetite – high volume
LRO,63011,Dwellings–Two-Family (Lessor’s Risk Only),"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,2898,2013,213,69.5,9.7,Strong appetite – high volume
LRO,63013,Dwellings–Four-Family (Lessor’s Risk Only),"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,2906,1937,210,66.7,9.8,Strong appetite – high volume
LRO,68703,Warehouses–Occupied by Single Interest (Lessor’s Risk Only),"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,2837,1544,231,54.4,13.2,Strong appetite – high volume
LRO,63012,Dwellings–Three-Family (Lessor’s Risk Only),"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,2045,1433,111,70.1,7.2,Strong appetite – high volume
LRO,68702,Warehouses–Occupied by Multiple Interests (Lessor’s Risk Only),"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,1422,760,86,53.4,10.2,Strong appetite – high volume
LRO,67635,"Shopping Centers–Buildings, or Premises Not Occupied by the Insured (Lessor’s Risk Only)","Excess Standalone, GL, Package",YES,YES,NO,NO,YES,984,447,96,45.4,16.6,Strong appetite – high volume
LRO,90822,Vacation Rentals,"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,1504,367,123,24.4,21.9,"Strong appetite – high volume, strong conversion"
LRO,61218,Buildings or Premises–Bank or Office–Mercantile or Mfg. (Lessor’s Risk Only)–Maintained by the Insured–Not-For-Profit Only,"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,587,231,32,39.4,12.2,Strong appetite – high volume
LRO,61216,Buildings or Premises–Bank or Office–Mercantile or Mfg. (Lessor’s Risk Only)–Not-For-Profit Only,"Excess Standalone, GL, Package",YES,YES,NO,NO,YES,487,208,30,42.7,12.6,Strong appetite – high volume
LRO,46607,Parking–Public–Shopping Centers–Maintained by the Insured (Lessor’s Risk Only),"GL, Package",YES,NO,NO,NO,YES,186,111,10,59.7,8.5,Strong appetite – high volume
LRO,46622,Parking–Private,"GL, Package",YES,NO,NO,NO,YES,187,94,14,50.3,12.8,Strong appetite – high volume
LRO,46606,Parking–Public–Shopping Centers–Maintained by Lessee (Lessor’s Risk Only),"GL, Package",YES,NO,NO,NO,YES,89,51,3,57.3,5.8,Strong appetite – high volume
LRO,46604,Parking–Public–Open Air,"GL, Package",YES,NO,NO,NO,YES,69,38,9,55.1,21.4,Moderate appetite – converts well
LRO,67634,"Shopping Centers–Indoor Malls–Buildings, or Premises Not Occupied by the Insured (Lessor’s Risk Only)","Excess Standalone, GL, Package",YES,YES,NO,NO,YES,59,19,9,32.2,33.3,Moderate appetite – converts well
LRO,46603,Parking–Public–Not Open Air,"GL, Package",YES,NO,NO,NO,YES,13,7,0,53.8,0.0,Limited appetite – low volume
Manufacturing,51970,Cosmetics Mfg.,GL,YES,NO,NO,NO,NO,306,169,39,55.2,17.0,Strong appetite – high volume
Manufacturing,53374,Food Products Mfg.–Dry,GL,YES,NO,NO,NO,NO,151,78,24,51.7,22.6,"Strong appetite – high volume, strong conversion"
Manufacturing,51896,Clothing Mfg.,GL,YES,NO,NO,NO,NO,76,37,16,48.7,29.1,Moderate appetite – converts well
Manufacturing,51741,Candle Mfg.,GL,YES,NO,NO,NO,NO,69,23,7,33.3,14.9,Moderate appetite
Manufacturing,53377,Food Products Mfg.–Not Dry–In Other Than Glass Containers,GL,YES,NO,NO,NO,NO,44,21,10,47.7,32.3,Moderate appetite – converts well
Manufacturing,53376,Food Products Mfg.–Not Dry–In Glass Containers,GL,YES,NO,NO,NO,NO,31,15,9,48.4,34.6,Moderate appetite – converts well
Manufacturing,56488,Liquor Mfg.,GL,YES,NO,NO,NO,NO,35,15,11,42.9,40.7,Moderate appetite – converts well
Manufacturing,51359,Beverage Bottler–Soft Drinks–Not Carbonated–In Bottles or Cans,GL,YES,NO,NO,NO,NO,13,10,2,76.9,18.2,Moderate appetite
Manufacturing,56202,Leather Goods Mfg.,GL,YES,NO,NO,NO,NO,29,10,5,34.5,25.0,Moderate appetite – converts well
Manufacturing,53565,Fruit or Vegetable Juice Mfg.–No Bottling of Carbonated Beverages,GL,YES,NO,NO,NO,NO,10,7,2,70.0,25.0,Limited appetite – low volume
Manufacturing,51355,Beverage Bottler–Soft Drinks–Carbonated–In Cans or Plastic Bottles,GL,YES,NO,NO,NO,NO,10,5,3,50.0,37.5,Limited appetite – low volume
Manufacturing,51352,"Beer, Ale or Malt Liquor Mfg.–Not Bottled or Canned",GL,YES,NO,NO,NO,NO,8,4,2,50.0,40.0,Limited appetite – low volume
Manufacturing,51350,"Beer, Ale or Malt Liquor Mfg.–In Bottles",GL,YES,NO,NO,NO,NO,7,3,3,42.9,50.0,Limited appetite – low volume
Manufacturing,51351,"Beer, Ale or Malt Liquor Mfg.–In Cans",GL,YES,NO,NO,NO,NO,7,2,2,28.6,50.0,Edge / rare class – verify eligibility before quoting
Manufacturing,51356,Beverage Bottler–Soft Drinks–Carbonated–In Glass Bottles,GL,YES,NO,NO,NO,NO,3,2,0,66.7,0.0,Edge / rare class – verify eligibility before quoting
Manufacturing,51357,Beverage Bottler–Soft Drinks–In Metal Cylinders,GL,YES,NO,NO,NO,NO,3,2,1,66.7,50.0,Edge / rare class – verify eligibility before quoting
Manufacturing,51752,Candy or Confectionery Products Mfg.,GL,YES,NO,NO,NO,NO,3,2,0,66.7,0.0,Edge / rare class – verify eligibility before quoting
Manufacturing,53375,Food Products Mfg.–Frozen,GL,YES,NO,NO,NO,NO,15,2,2,13.3,33.3,Edge / rare class – verify eligibility before quoting
Manufacturing,51358,Beverage Bottler–Soft Drinks–In Paper Containers,GL,YES,NO,NO,NO,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
