vertical,class_code,class_of_business,lines_of_business,submissions_12m,auto_quoted_12m,bound_12m,auto_quote_rate_pct,bind_rate_pct,appetite_note
Contractors,91300,Remodeling Contractor,"Excess Standalone, GL",5405,3776,1051,69.9,22.9,"Strong appetite – high volume, strong conversion"
Contractors,98678,Roofing–Residential–Three Stories and Under,"Excess Standalone, GL",3930,2923,739,74.4,21.6,"Strong appetite – high volume, strong conversion"
Contractors,91580,Contractors–Executive Supervisors or Executive Superintendents,"Excess Standalone, GL",3572,1504,544,42.1,23.7,"Strong appetite – high volume, strong conversion"
Contractors,99777,"Tree Pruning, Dusting, Spraying, Repairing, Trimming or Fumigating","Excess Standalone, GL",1703,1358,279,79.7,17.7,Strong appetite – high volume
Contractors,91340,Carpentry–Construction of Residential Property Not Exceeding Three Stories in Height,"Excess Standalone, GL",1820,1098,395,60.3,28.3,"Strong appetite – high volume, strong conversion"
Contractors,95625,Handyperson,"Excess Standalone, GL",1396,948,309,67.9,26.0,"Strong appetite – high volume, strong conversion"
Contractors,98522,Pressure Washing,"Excess Standalone, GL",1482,932,397,62.9,29.7,"Strong appetite – high volume, strong conversion"
Contractors,96816,Janitorial Services,"Excess Standalone, GL",1142,865,139,75.7,14.2,Strong appetite – high volume
Contractors,98305,Painting–Interior–Buildings or Structures,"Excess Standalone, GL",1095,846,222,77.3,22.1,"Strong appetite – high volume, strong conversion"
Contractors,91341,Carpentry–Interior,"Excess Standalone, GL",1136,800,321,70.4,32.4,"Strong appetite – high volume, strong conversion"
Contractors,98483,Plumbing–Residential or Domestic,"Excess Standalone, GL",1011,766,62,75.8,7.2,Strong appetite – high volume
Contractors,92478,Electrical Work–within Buildings,"Excess Standalone, GL",912,690,182,75.7,23.3,"Strong appetite – high volume, strong conversion"
Contractors,91560,Concrete Construction,"Excess Standalone, GL",991,660,181,66.6,23.3,"Strong appetite – high volume, strong conversion"
Contractors,99969,Welding or Cutting,"Excess Standalone, GL",850,612,67,72.0,10.4,Strong appetite – high volume
Contractors,94007,Excavation,"Excess Standalone, GL",942,599,205,63.6,27.3,"Strong appetite – high volume, strong conversion"
Contractors,97047,Landscape Gardening,"Excess Standalone, GL",896,593,181,66.2,25.2,"Strong appetite – high volume, strong conversion"
Contractors,99507,"Swimming Pools–Installation, Servicing or Repair–Below Ground","Excess Standalone, GL",709,530,215,74.8,32.8,"Strong appetite – high volume, strong conversion"
Contractors,98967,Siding Installation,"Excess Standalone, GL",675,498,213,73.8,34.9,"Strong appetite – high volume, strong conversion"
Contractors,95647,"Heating or Combined Heating and Air Conditioning Systems or Equipment–Dealers or Distributors and Installation, Servicing or Repair–No Liquefied Petroleum Gas (LPG) Equipment Sales or Work","Excess Standalone, GL",646,465,126,72.0,23.2,"Strong appetite – high volume, strong conversion"
Contractors,92338,Drywall or Wallboard Installation,"Excess Standalone, GL",618,448,168,72.5,30.0,"Strong appetite – high volume, strong conversion"
Contractors,98304,Painting–Exterior–Buildings or Structures–Three Stories or Less in Height,"Excess Standalone, GL",591,437,148,73.9,27.9,"Strong appetite – high volume, strong conversion"
Contractors,97050,Lawn Care Services,"Excess Standalone, GL",589,393,132,66.7,27.2,"Strong appetite – high volume, strong conversion"
Contractors,94569,Floor Covering Installation–Not Ceramic Tile or Stone,"Excess Standalone, GL",477,375,107,78.6,25.1,"Strong appetite – high volume, strong conversion"
Contractors,95410,Grading of Land,"Excess Standalone, GL",539,371,147,68.8,30.7,"Strong appetite – high volume, strong conversion"
Contractors,98677,Roofing–Commercial or Residential over Three Stories,"Excess Standalone, GL",526,359,56,68.3,14.0,Strong appetite – high volume
Contractors,99746,"Tile, Stone, Marble, Mosaic or Terrazzo Work–Interior Construction","Excess Standalone, GL",440,349,108,79.3,26.8,"Strong appetite – high volume, strong conversion"
Contractors,92215,"Driveway, Parking Area or Sidewalk–Paving or Repaving","Excess Standalone, GL",455,324,101,71.2,26.6,"Strong appetite – high volume, strong conversion"
Contractors,97447,Masonry,"Excess Standalone, GL",423,296,104,70.0,29.4,"Strong appetite – high volume, strong conversion"
Contractors,91155,"Appliances and Accessories–Installation, Servicing or Repair–Household","Excess Standalone, GL",350,281,42,80.3,13.6,Strong appetite – high volume
Contractors,91746,"Door, Window or Assembled Millwork–Installation–Metal","Excess Standalone, GL",395,273,64,69.1,20.3,"Strong appetite – high volume, strong conversion"
Contractors,43470,Pest Control Services,"Excess Standalone, GL",577,268,78,46.4,20.3,"Strong appetite – high volume, strong conversion"
Contractors,98482,Plumbing–Commercial and Industrial,"Excess Standalone, GL",386,246,55,63.7,18.6,Strong appetite – high volume
Contractors,95648,"Heating or Combined Heating and Air Conditioning Systems or Equipment–Dealers or Distributors and Installation, Servicing or Repair","Excess Standalone, GL",329,244,51,74.2,18.1,Strong appetite – high volume
Contractors,91629,Debris Removal–Construction Site,"Excess Standalone, GL",362,241,78,66.6,26.5,"Strong appetite – high volume, strong conversion"
Contractors,91577,Conduit Construction for Cables or Wires,"Excess Standalone, GL",346,237,66,68.5,24.4,"Strong appetite – high volume, strong conversion"
Contractors,91342,Carpentry,"Excess Standalone, GL",338,221,37,65.4,14.4,Strong appetite – high volume
Contractors,97223,"Machinery or Equipment–Installation, Servicing or Repair","Excess Standalone, GL",428,214,39,50.0,15.1,Strong appetite – high volume
Contractors,99080,Solar Energy Contractors,"Excess Standalone, GL",292,203,65,69.5,25.9,"Strong appetite – high volume, strong conversion"
Contractors,99505,Swimming Pool Servicing,"Excess Standalone, GL",259,200,104,77.2,41.1,"Strong appetite – high volume, strong conversion"
Contractors,94276,Fence Erection Contractors,"Excess Standalone, GL",256,188,45,73.4,20.5,"Strong appetite – high volume, strong conversion"
Contractors,99984,Gutter Installation,"Excess Standalone, GL",259,179,76,69.1,33.0,"Strong appetite – high volume, strong conversion"
Contractors,91111,"Air Conditioning Systems or Equipment–Dealers or Distributors and Installation, Servicing or Repair","Excess Standalone, GL",249,174,58,69.9,28.0,"Strong appetite – high volume, strong conversion"
Contractors,99613,"Telephone, Telegraph, or Cable Television Line Construction","Excess Standalone, GL",220,171,44,77.7,23.9,"Strong appetite – high volume, strong conversion"
Contractors,91127,"Alarms and Alarm Systems–Installation, Servicing or Repair","Excess Standalone, GL",262,164,47,62.6,23.0,"Strong appetite – high volume, strong conversion"
Contractors,98449,Plastering or Stucco Work,"Excess Standalone, GL",209,163,28,78.0,15.7,Strong appetite – high volume
Contractors,92451,"Electrical Apparatus–Installation, Servicing or Repair","Excess Standalone, GL",272,154,40,56.6,22.0,"Strong appetite – high volume, strong conversion"
Contractors,91583,"Contractors–Subcontracted Work–In Connection with Building Construction, Reconstruction, Repair or Erection–One- or Two-Family Dwellings","Excess Standalone, GL",239,132,49,55.2,24.9,"Strong appetite – high volume, strong conversion"
Contractors,99975,Window Cleaning,"Excess Standalone, GL",213,131,34,61.5,19.8,Strong appetite – high volume
Contractors,99986,Wrecking–Buildings or Structures,"Excess Standalone, GL",171,116,14,67.8,10.9,Strong appetite – high volume
Contractors,91551,Communication Equipment Installation–Industrial or Commercial,"Excess Standalone, GL",162,114,35,70.4,27.6,"Strong appetite – high volume, strong conversion"
Contractors,97655,Metal Erection–Structural,"Excess Standalone, GL",168,108,14,64.3,11.7,Strong appetite – high volume
Contractors,91523,Cleaning–Outside Surfaces of Buildings & Other Exterior Surfaces,"Excess Standalone, GL",145,98,2,67.6,1.8,Strong appetite – high volume
Contractors,91302,Cable Installation in Conduits or Subways,"Excess Standalone, GL",146,81,16,55.5,16.0,Strong appetite – high volume
Contractors,97653,Metal Erection–Nonstructural,"Excess Standalone, GL",104,76,34,73.1,37.8,"Strong appetite – high volume, strong conversion"
Contractors,98884,Sheet Metal Work–Outside,"Excess Standalone, GL",93,73,16,78.5,20.3,"Strong appetite – high volume, strong conversion"
Contractors,99955,Waterproofing,"Excess Standalone, GL",102,73,17,71.6,21.0,"Strong appetite – high volume, strong conversion"
Contractors,99506,"Swimming Pools–Installation, Servicing or Repair–Above Ground","Excess Standalone, GL",88,70,28,79.5,33.7,"Strong appetite – high volume, strong conversion"
Contractors,91150,"Appliances and Accessories–Installation, Servicing or Repair–Commercial","Excess Standalone, GL",95,68,20,71.6,25.3,"Strong appetite – high volume, strong conversion"
Contractors,97222,"Machinery or Equipment–Industrial–Installation, Servicing or Repair","Excess Standalone, GL",87,68,5,78.2,7.0,Strong appetite – high volume
Contractors,98993,"Sign Erection, Installation or Repair","Excess Standalone, GL",116,68,20,58.6,22.2,"Strong appetite – high volume, strong conversion"
Contractors,96702,Irrigation or Drainage System Construction,"Excess Standalone, GL",73,60,4,82.2,6.6,Strong appetite – high volume
Contractors,98806,"Septic Tank Systems–Installation, Servicing or Repair","Excess Standalone, GL",82,59,22,72.0,30.6,"Strong appetite – high volume, strong conversion"
Contractors,96408,Insulation Work–Plastic,"Excess Standalone, GL",72,57,8,79.2,12.3,Strong appetite – high volume
Contractors,95124,Furniture or Fixtures–Installation in Offices or Stores–Portable–Metal or Wood,"Excess Standalone, GL",85,55,29,64.7,41.4,"Strong appetite – high volume, strong conversion"
Contractors,90511,Cleaning or Washing by Pressure Apparatus,"Excess Standalone, GL",114,52,16,45.6,23.9,"Strong appetite – high volume, strong conversion"
Contractors,91581,"Contractors–Subcontracted Work–In Connection with Construction, Reconstruction, Erection or Repair–Not Buildings","Excess Standalone, GL",96,52,17,54.2,23.9,"Strong appetite – high volume, strong conversion"
Contractors,91405,"Carpet, Rug, Furniture or Upholstery Cleaning–on Customers’ Premises","Excess Standalone, GL",67,45,15,67.2,24.6,Moderate appetite – converts well
Contractors,97650,Metal Erection–Decorative or Artistic,"Excess Standalone, GL",68,45,14,66.2,25.0,Moderate appetite – converts well
Contractors,90516,"Commercial Collection Receptacles – Construction Debris, Recyclables or Other Refuse","Excess Standalone, GL",97,43,8,44.3,17.0,Moderate appetite
Contractors,91585,"Contractors–Subcontracted Work–In Connection with Construction, Reconstruction, Repair or Erection of Buildings","Excess Standalone, GL",79,41,10,51.9,18.2,Moderate appetite
Contractors,96409,Insulation Work–Organic or Plastic in Solid State,"Excess Standalone, GL",67,41,15,61.2,26.8,Moderate appetite – converts well
Contractors,96053,House Furnishings Installation,"Excess Standalone, GL",52,40,5,76.9,11.1,Moderate appetite
Contractors,91481,Chimney Cleaning,"Excess Standalone, GL",50,36,7,72.0,17.9,Moderate appetite
Contractors,98705,Sandblasting,"Excess Standalone, GL",45,36,3,80.0,7.7,Moderate appetite
Contractors,98502,Prefabricated Building Erection,"Excess Standalone, GL",82,35,14,42.7,29.2,Moderate appetite – converts well
Contractors,98303,Painting–Exterior–Buildings or Structures–Exceeding Three Stories in Height,"Excess Standalone, GL",56,34,8,60.7,22.9,Moderate appetite – converts well
Contractors,98636,"Refrigeration Systems or Equipment–Dealers and Distributors and Installation, Servicing, or Repair–Commercial","Excess Standalone, GL",44,31,8,70.5,22.2,Moderate appetite – converts well
Contractors,99650,Television or Radio Receiving Set Installation or Repair,"Excess Standalone, GL",36,31,9,86.1,26.5,Moderate appetite – converts well
Contractors,91235,Boat Repair and Servicing,"Excess Standalone, GL",127,30,14,23.6,27.5,Moderate appetite – converts well
Contractors,91343,Carpentry–Shop Only,"Excess Standalone, GL",45,29,12,64.4,30.0,Moderate appetite – converts well
Contractors,98820,Sewer Mains or Connections Construction,"Excess Standalone, GL",54,28,11,51.9,32.4,Moderate appetite – converts well
Contractors,91436,Ceiling or Wall Installation–Metal,"Excess Standalone, GL",31,25,6,80.6,21.4,Moderate appetite – converts well
Contractors,96410,Insulation Work–Mineral,"Excess Standalone, GL",47,25,5,53.2,15.6,Moderate appetite
Contractors,99948,"Water Softening Equipment–Installation, Servicing or Repair","Excess Standalone, GL",35,25,3,71.4,11.1,Moderate appetite
Contractors,99946,Water Mains or Connections Construction,"Excess Standalone, GL",44,24,5,54.5,16.7,Moderate appetite
Contractors,99987,Wrecking–Dismantling of Prefabricated Dwellings Not Exceeding Three Stories for Reerection,"Excess Standalone, GL",32,24,3,75.0,11.1,Moderate appetite
Contractors,90670,Decorator – Outdoor or Indoor Displays – Commercial or Residential,"Excess Standalone, GL",34,22,6,64.7,23.1,Moderate appetite – converts well
Contractors,92102,Drilling–Water,"Excess Standalone, GL",52,20,7,38.5,22.6,Moderate appetite – converts well
Contractors,97652,Metal Erection–In the Construction of Dwellings Not Exceeding Two Stories in Height,"Excess Standalone, GL",60,20,8,33.3,25.8,Moderate appetite – converts well
Contractors,94304,"Fire Extinguishers–Servicing, Refilling, or Testing","Excess Standalone, GL",46,19,5,41.3,17.2,Moderate appetite
Contractors,96611,Interior Decorators,"Excess Standalone, GL",29,17,5,58.6,25.0,Moderate appetite – converts well
Contractors,98805,Septic Tank System - cleaning,"Excess Standalone, GL",23,17,4,73.9,21.1,Moderate appetite – converts well
Contractors,99954,Waterproofing–By Trowel–Interior or Insulation Work,GL,21,16,5,76.2,26.3,Moderate appetite – converts well
Contractors,98813,Sewer Cleaning,"Excess Standalone, GL",18,15,4,83.3,25.0,Moderate appetite – converts well
Contractors,90089,Advertising Sign Cos.–Outdoor,"Excess Standalone, GL",28,14,9,50.0,47.4,Moderate appetite – converts well
Contractors,91250,"Boiler Inspection, Installation, Cleaning or Repair","Excess Standalone, GL",21,12,0,57.1,0.0,Moderate appetite
Contractors,98698,Salvage Operations,"Excess Standalone, GL",25,12,3,48.0,21.4,Moderate appetite – converts well
Contractors,98344,Paperhanging,"Excess Standalone, GL",19,11,3,57.9,23.1,Moderate appetite – converts well
Contractors,98640,Renovating–Outside Surfaces of Buildings,"Excess Standalone, GL",22,11,1,50.0,8.3,Moderate appetite
Contractors,99952,Waterproofing–By Pressure Apparatus,"Excess Standalone, GL",19,11,5,57.9,31.3,Moderate appetite – converts well
Contractors,14913,Locksmiths,GL,22,10,1,45.5,7.7,Moderate appetite
Contractors,99709,"Tent or Canvas Goods–Erection, Removal or Repair–Away from Shop","Excess Standalone, GL",22,10,6,45.5,40.0,Moderate appetite – converts well
Contractors,92101,Drilling–Other Than Water,GL,9,8,1,88.9,12.5,Limited appetite – low volume
Contractors,98710,Sand or Gravel Digging,"Excess Standalone, GL",11,8,3,72.7,33.3,Limited appetite – low volume
Contractors,97221,"Machinery or Equipment–Farm–Installation, Servicing, Repair or Erection",GL,9,7,0,77.8,0.0,Limited appetite – low volume
Contractors,99953,Waterproofing–By Trowel–Exterior,GL,11,7,1,63.6,12.5,Limited appetite – low volume
Contractors,49840,Window Decorating,"Excess Standalone, GL",8,6,0,75.0,0.0,Limited appetite – low volume
Contractors,98699,"Salvage Operations–Removing, Sorting, Reconditioning and Distributing of Merchandise in Damaged Buildings and Incidental Operations Away from Such Buildings","Excess Standalone, GL",29,5,1,17.2,11.1,Limited appetite – low volume
Contractors,99004,Sign Painting or Lettering–on Buildings or Structures,"Excess Standalone, GL",10,5,2,50.0,28.6,Limited appetite – low volume
Contractors,99826,Upholstering,"Excess Standalone, GL",11,5,1,45.5,12.5,Limited appetite – low volume
Contractors,99827,Upholstering–Shop Only,GL,6,5,1,83.3,16.7,Limited appetite – low volume
Contractors,98111,"Office Machines or Appliances–Installation, Inspection, Adjustment or Repair","Excess Standalone, GL",7,4,1,57.1,20.0,Limited appetite – low volume
Contractors,95505,Guniting or Shot-Crete,GL,5,3,2,60.0,40.0,Limited appetite – low volume
Contractors,98308,Painting–Shop Only,GL,5,3,0,60.0,0.0,Limited appetite – low volume
Contractors,99003,Sign Painting or Lettering–Inside of Buildings,"Excess Standalone, GL",6,3,0,50.0,0.0,Limited appetite – low volume
Contractors,99165,Steam Pipe or Boiler Insulation,GL,5,2,0,40.0,0.0,Edge / rare class – verify eligibility before quoting
Contractors,91507,Clay or Shale Digging,GL,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Contractors,91591,Contractors–Subcontracted Work–Other Than Construction-Related Work,GL,4,1,1,25.0,50.0,Edge / rare class – verify eligibility before quoting
Contractors,95487,Greenhouse Erection,GL,5,1,1,20.0,33.3,Edge / rare class – verify eligibility before quoting
Cyber,524210,Insurance Agencies and Brokerages,Cyber,84,34,15,40.5,27.3,Moderate appetite – converts well
Cyber,541511,Custom Computer Programming Services,Cyber,35,11,6,31.4,25.0,Moderate appetite – converts well
Cyber,541512,Computer Systems Design Services,Cyber,14,7,1,50.0,11.1,Limited appetite – low volume
Cyber,541219,Other Accounting Services,Cyber,8,5,0,62.5,0.0,Limited appetite – low volume
Cyber,541613,Marketing Consulting Services,Cyber,15,4,3,26.7,37.5,Limited appetite – low volume
Cyber,721110,Hotels (except Casino Hotels) and Motels,Cyber,10,4,1,40.0,14.3,Limited appetite – low volume
Cyber,813410,Civic and Social Organizations,Cyber,5,4,2,80.0,40.0,Limited appetite – low volume
Cyber,238210,Electrical Contractors and Other Wiring Installation Contractors,Cyber,4,3,0,75.0,0.0,Limited appetite – low volume
Cyber,238990,All Other Specialty Trade Contractors,Cyber,3,3,1,100.0,33.3,Limited appetite – low volume
Cyber,484121,"General Freight Trucking, Long-Distance, Truckload",Cyber,3,3,1,100.0,33.3,Limited appetite – low volume
Cyber,488510,Freight Transportation Arrangement,Cyber,3,3,1,100.0,33.3,Limited appetite – low volume
Cyber,531210,Offices of Real Estate Agents and Brokers,Cyber,7,3,0,42.9,0.0,Limited appetite – low volume
Cyber,541213,Tax Preparation Services,Cyber,9,3,2,33.3,33.3,Limited appetite – low volume
Cyber,541611,Administrative Management and General Management Consulting Services,Cyber,10,3,2,30.0,25.0,Limited appetite – low volume
Cyber,541690,Other Scientific and Technical Consulting Services,Cyber,10,3,4,30.0,57.1,Limited appetite – low volume
Cyber,621610,Home Health Care Services,Cyber,4,3,1,75.0,25.0,Limited appetite – low volume
Cyber,722511,Full-Service Restaurants,Cyber,6,3,1,50.0,25.0,Limited appetite – low volume
Cyber,323111,Commercial Printing (except Screen and Books),Cyber,2,2,1,100.0,50.0,Edge / rare class – verify eligibility before quoting
Cyber,423220,Home Furnishing Merchant Wholesalers,Cyber,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,441120,Used Car Dealers,Cyber,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,518210,"Data Processing, Hosting, and Related Services",Cyber,7,2,1,28.6,33.3,Edge / rare class – verify eligibility before quoting
Cyber,519130,Internet Publishing and Broadcasting and Web Search Portals,Cyber,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,519190,All Other Information Services,Cyber,4,2,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,522310,Mortgage and Nonmortgage Loan Brokers,Cyber,4,2,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,523930,Investment Advice,Cyber,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,523999,Miscellaneous Financial Investment Activities,Cyber,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541519,Other Computer Related Services,Cyber,4,2,1,50.0,50.0,Edge / rare class – verify eligibility before quoting
Cyber,541618,Other Management Consulting Services,Cyber,3,2,0,66.7,0.0,Edge / rare class – verify eligibility before quoting
Cyber,621330,Offices of Mental Health Practitioners (except Physicians),Cyber,3,2,0,66.7,0.0,Edge / rare class – verify eligibility before quoting
Cyber,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",Cyber,3,2,1,66.7,50.0,Edge / rare class – verify eligibility before quoting
Cyber,624210,Community Food Services,Cyber,3,2,1,66.7,33.3,Edge / rare class – verify eligibility before quoting
Cyber,722513,Limited-Service Restaurants,Cyber,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,237110,Water and Sewer Line and Related Structures Construction,Cyber,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,238160,Roofing Contractors,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,238350,Finish Carpentry Contractors,Cyber,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,315990,Apparel Accessories and Other Apparel Manufacturing,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,316210,Footwear Manufacturing,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,334290,Other Communications Equipment Manufacturing,Cyber,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,337125,Household Furniture (except Wood and Metal) Manufacturing,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,339910,Jewelry and Silverware Manufacturing,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,423690,Other Electronic Parts and Equipment Merchant Wholesalers,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,446120,"Cosmetics, Beauty Supplies, and Perfume Stores",Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,448140,Family Clothing Stores,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,448320,Luggage and Leather Goods Stores,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Cyber,3,1,0,33.3,0.0,Edge / rare class – verify eligibility before quoting
Cyber,454210,Vending Machine Operators,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,454390,Other Direct Selling Establishments,Cyber,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,484110,"General Freight Trucking, Local",Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,493110,General Warehousing and Storage,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,511210,Software Publishers,Cyber,12,1,3,8.3,42.9,Edge / rare class – verify eligibility before quoting
Cyber,522291,Consumer Lending,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,522390,Other Activities Related to Credit Intermediation,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,523920,Portfolio Management,Cyber,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,524291,Claims Adjusting,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,524298,All Other Insurance Related Activities,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,531110,Lessors of Residential Buildings and Dwellings,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,531190,Lessors of Other Real Estate Property,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,531311,Residential Property Managers,Cyber,3,1,0,33.3,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541199,All Other Legal Services,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541310,Architectural Services,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541330,Engineering Services,Cyber,2,1,1,50.0,50.0,Edge / rare class – verify eligibility before quoting
Cyber,541490,Other Specialized Design Services,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541612,Human Resources Consulting Services,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541614,"Process, Physical Distribution, and Logistics Consulting Services",Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
